configuracion,n,threshold,TN,FP,FN,TP,accuracy,balanced_accuracy,precision,recall,F1,ROC_AUC,PR_AUC,Brier,seleccionado
sin_ponderacion,99535,0.295,66502,10719,7423,14891,0.8177324559200281,0.7642647495774723,0.5814525575946896,0.6673388903827193,0.6214422836157248,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.3,66774,10447,7542,14772,0.8192696036570051,0.7633594411243747,0.5857488401601967,0.6620059155687013,0.6215471356741632,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.30499999999999994,67039,10182,7685,14629,0.8204953031596925,0.7618710292400623,0.589617508363226,0.6555973828089988,0.6208594164456234,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.30999999999999994,67310,9911,7815,14499,0.8219118902898478,0.7607127638351208,0.5939778779188857,0.6497714439365421,0.6206232343121308,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.31499999999999995,67557,9664,7937,14377,0.8231677299442407,0.759578359944801,0.5980200490828168,0.6443040243793134,0.6202998597778018,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.31999999999999995,67792,9429,8029,14285,0.8246044105088662,0.759038480699038,0.6023867757442861,0.6401810522541902,0.6207091335708699,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.32499999999999996,68011,9210,8131,14183,0.825779876425378,0.7581709281192626,0.6062924806566067,0.6356099309850318,0.6206051589472072,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.32999999999999996,68240,8981,8220,14094,0.8271864168382981,0.7576594217093566,0.6107908992416035,0.6316214036031191,0.621031527462601,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.33499999999999996,68454,8767,8331,13983,0.8282212287135179,0.756557827401642,0.6146373626373627,0.6266469481043291,0.6205840582282975,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.33999999999999997,68649,8572,8427,13887,0.829215853719797,0.7556693214220849,0.6183267287056414,0.6223447163215918,0.6203292162687334,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.3449999999999999,68862,8359,8520,13794,0.8304214597880143,0.7549645864213772,0.6226696158533833,0.618176929282065,0.6204151393167967,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.3499999999999999,69058,8163,8621,13693,0.8313758979253529,0.7539705180784361,0.6265098828696926,0.6136506229273102,0.6200135838804619,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.3549999999999999,69234,7987,8724,13590,0.8321093082835184,0.7528021363685978,0.6298373267831487,0.6090346867437483,0.6192613519856007,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.35999999999999993,69416,7805,8828,13486,0.8328929522278595,0.7516501967373059,0.6334131792776291,0.6043739356457829,0.6185529182433207,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.36499999999999994,69591,7630,8943,13371,0.8334957552619682,0.750206450618422,0.6366839674301223,0.5992202204893788,0.617384277963754,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.36999999999999994,69756,7465,9068,13246,0.8338976239513739,0.7484738807012736,0.6395635169716576,0.5936183561889397,0.6157350377687391,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.37499999999999994,69931,7290,9167,13147,0.8346611744612448,0.7473886538976178,0.6432940255419093,0.5891816796629918,0.6150499403522725,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.37999999999999995,70122,7099,9262,13052,0.8356256593158186,0.7464966556847638,0.6477097910773659,0.584924262794658,0.6147180030613446,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.38499999999999995,70290,6931,9379,12935,0.8361380418948109,0.7449627701931036,0.6511124534380348,0.579680917809447,0.6133238501659555,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.38999999999999996,70451,6770,9477,12837,0.8367709850806249,0.7438093019299041,0.6547151527515683,0.5752890561979027,0.6124376803988455,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.39499999999999996,70627,6594,9593,12721,0.8373737881147335,0.742349623276443,0.6586073000258866,0.5700905261270951,0.6111604890821303,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.3999999999999999,70755,6466,9676,12638,0.837825890390315,0.7413185944246556,0.661536850921273,0.5663708882316035,0.6102660678931865,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.4049999999999999,70900,6321,9769,12545,0.8383483196865424,0.74017356468547,0.6649528251881692,0.5622031011920767,0.6092763477416221,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.4099999999999999,71052,6169,9866,12448,0.8389008891344754,0.7389842295758502,0.6686361927270774,0.5578560544949359,0.6082431408956537,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.4149999999999999,71193,6028,9965,12349,0.8393228512583514,0.7376788554029554,0.6719812809490123,0.5534193779689881,0.6069646850654936,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.41999999999999993,71341,5880,10065,12249,0.8398050936856383,0.7363963982312315,0.6756577858679463,0.5489378865286367,0.6057414138417031,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.42499999999999993,71489,5732,10156,12158,0.8403777565680414,0.7353156081743235,0.6795975405254332,0.544859729317917,0.6048154412496269,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.42999999999999994,71616,5605,10252,12062,0.8406892048023309,0.7339868074562885,0.6827418350597159,0.5405574975351797,0.6033866086391035,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.43499999999999994,71729,5492,10368,11946,0.8406590646506255,0.732119208677473,0.6850556256451428,0.5353589674643722,0.6010263634534111,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.43999999999999995,71865,5356,10455,11859,0.8411513537951474,0.7310503493778759,0.6888759802497821,0.5314600699112665,0.6000151787295404,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.44499999999999995,72000,5221,10553,11761,0.8415230823328478,0.7297285331264347,0.6925568248733953,0.5270682082997221,0.5985850977198697,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.4499999999999999,72119,5102,10644,11670,0.8418043904154318,0.7284599703134111,0.6958025280228953,0.5229900510890024,0.5971447577137594,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.4549999999999999,72240,4981,10738,11576,0.8420756517807806,0.7271371349740317,0.6991604759316301,0.5187774491350722,0.5956111239741709,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.4599999999999999,72363,4858,10838,11476,0.8423067262771889,0.7256928047366911,0.7025835680176319,0.5142959576947208,0.5938729041606293,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.4649999999999999,72481,4740,10940,11374,0.8424674737529512,0.7241712849718234,0.7058458483306441,0.5097248364255624,0.5919641927761008,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.4699999999999999,72588,4633,11029,11285,0.8426483146631838,0.7228698380017073,0.7089458474682749,0.5057363090436497,0.5903431680267839,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.4749999999999999,72686,4535,11121,11193,0.8427085949665947,0.7214428943563638,0.7116607324516785,0.5016133369185265,0.5884548656747806,0.8533493454449823,0.680929669939794,0.1148455285354345,False
